"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","fraud_label"
2818,"Quiet Garden View Room & Super Fast WiFi",3159,"Daniel",NA,"Oostelijk Havengebied - Indische Buurt",52.3657545138762,4.9414192351844,"Private room",59,3,248,"2018-11-28",2.1,1,44,0
52490,"Amsterdam Aqua",185836,"VictorLuke",NA,"Oostelijk Havengebied - Indische Buurt",52.3700458926611,4.9386912362463,"Private room",72,3,81,"2018-11-25",0.82,1,11,0
57408,"Very Bright & Spacious Apt + 4 Bikes",273329,"Bart",NA,"Oostelijk Havengebied - Indische Buurt",52.3619297888893,4.93640095719916,"Entire home/apt",100,4,420,"2017-09-30",4.29,2,5,0
141708,"light modern & cosy apartment",689016,"Cindy",NA,"Oostelijk Havengebied - Indische Buurt",52.3646068970428,4.93892008253442,"Entire home/apt",98,3,82,"2018-10-15",0.9,1,18,1
250751,"Modern studio near central AMS",1314658,"Mira",NA,"Oostelijk Havengebied - Indische Buurt",52.3660990226946,4.93298712909655,"Entire home/apt",70,2,97,"2018-08-07",1.13,1,0,0
262209,"AirbnBABY! Family holiday made easy",1375554,"Claire",NA,"Oostelijk Havengebied - Indische Buurt",52.3616422185585,4.93827370007071,"Entire home/apt",73,2,14,"2018-11-05",0.16,1,0,0
313778,"3 room apartment in popular Amsterdam Oost!",1612893,"Nina",NA,"Oostelijk Havengebied - Indische Buurt",52.3643927917067,4.93943925927316,"Entire home/apt",124,1,48,"2018-10-22",0.65,1,30,0
415619,"Sunny Amsterdam East Harbor View",1336633,"Stephan",NA,"Oostelijk Havengebied - Indische Buurt",52.3695817143686,4.93516097856682,"Entire home/apt",145,2,57,"2018-11-17",0.72,1,247,1
441424,"Whole house in center of Amsterdam.",2193861,"Marco",NA,"Oostelijk Havengebied - Indische Buurt",52.3737868538464,4.94488212249847,"Entire home/apt",150,3,27,"2018-08-26",0.35,1,41,0
454056,"Lovely house at Docklands + 2 bikes",2255820,"Jaap",NA,"Oostelijk Havengebied - Indische Buurt",52.3717582060972,4.95029175329583,"Entire home/apt",125,4,28,"2018-10-15",0.36,1,0,0
462809,"Studio with harbour view and parkin",2299713,"Janny",NA,"Oostelijk Havengebied - Indische Buurt",52.3745893413069,4.94373351289646,"Private room",72,3,211,"2018-12-03",2.71,1,9,0
513743,"Luxury 200m2 Private HV Houseboat",2531171,"Carmen",NA,"Oostelijk Havengebied - Indische Buurt",52.3759332245369,4.9398041601012,"Entire home/apt",460,3,35,"2017-10-04",0.45,3,12,0
551606,"Spacious house at waterfront",2710951,"Anna",NA,"Oostelijk Havengebied - Indische Buurt",52.3724452698616,4.95087615263393,"Entire home/apt",299,3,46,"2017-08-31",0.67,1,70,0
585258,"AMS Spectacular room w water views",2049843,"Christine Pieternella",NA,"Oostelijk Havengebied - Indische Buurt",52.3757317826088,4.93741132579486,"Private room",90,60,8,"2016-12-10",0.14,4,348,0
638555,"Harbour View Houseboat Apartm",2531171,"Carmen",NA,"Oostelijk Havengebied - Indische Buurt",52.3769730773133,4.94149240720263,"Entire home/apt",453,3,13,"2018-08-08",0.19,3,25,1
652767,"Double room in Amsterdam, near Oostenpark",3281176,"Roland",NA,"Oostelijk Havengebied - Indische Buurt",52.3629417727938,4.93377525113208,"Private room",40,2,18,"2018-06-25",0.24,1,0,0
664832,"New, nicely decorated app in quiet neighborhood!",3358777,"Jazz",NA,"Oostelijk Havengebied - Indische Buurt",52.364114055641,4.9396623549149,"Entire home/apt",125,3,16,"2018-05-13",0.22,1,45,0
